product,date,sales
1,2019-06-04,98
1,2019-06-05,81
1,2019-06-06,65
1,2019-06-07,85
1,2019-06-08,64
1,2019-06-09,71
1,2019-06-10,81
1,2019-06-11,67
1,2019-06-12,69
1,2019-06-13,64
1,2019-06-14,83
1,2019-06-15,77
1,2019-06-16,65
1,2019-06-17,94
1,2019-06-18,75
1,2019-06-19,90
1,2019-06-20,58
1,2019-06-21,49
1,2019-06-22,75
1,2019-06-23,71
1,2019-06-24,56
1,2019-06-25,80
1,2019-06-26,62
1,2019-06-27,83
1,2019-06-28,74
1,2019-06-29,92
1,2019-06-30,57
1,2019-07-01,34
1,2019-07-02,51
1,2019-07-03,38
1,2019-07-04,50
1,2019-07-05,54
1,2019-07-06,42
1,2019-07-07,39
1,2019-07-08,51
1,2019-07-09,44
1,2019-07-10,44
1,2019-07-11,61
1,2019-07-12,50
1,2019-07-13,45
1,2019-07-14,43
1,2019-07-15,49
1,2019-07-16,78
1,2019-07-17,47
1,2019-07-18,34
1,2019-07-19,57
1,2019-07-20,57
1,2019-07-21,32
1,2019-07-22,50
1,2019-07-23,49
1,2019-07-24,56
1,2019-07-25,48
1,2019-07-26,56
1,2019-07-27,49
1,2019-07-28,46
1,2019-07-29,47
1,2019-07-30,55
1,2019-07-31,46
1,2019-08-01,52
1,2019-08-02,51
1,2019-08-03,49
1,2019-08-04,53
1,2019-08-05,39
1,2019-08-06,55
1,2019-08-07,40
1,2019-08-08,50
1,2019-08-09,52
1,2019-08-10,42
1,2019-08-11,53
1,2019-08-12,49
1,2019-08-13,53
1,2019-08-14,44
1,2019-08-15,42
1,2019-08-16,48
1,2019-08-17,48
1,2019-08-18,52
1,2019-08-19,66
1,2019-08-20,44
1,2019-08-21,44
1,2019-08-22,60
1,2019-08-23,50
1,2019-08-24,49
1,2019-08-25,50
1,2019-08-26,41
1,2019-08-27,50
1,2019-08-28,46
1,2019-08-29,52
1,2019-08-30,48
1,2019-08-31,49
1,2019-09-01,56
1,2019-09-02,58
1,2019-09-03,68
1,2019-09-04,38
1,2019-09-05,68
1,2019-09-06,43
1,2019-09-07,56
1,2019-09-08,61
1,2019-09-09,30
1,2019-09-10,46
1,2019-09-11,62
1,2019-09-12,50
1,2019-09-13,47
1,2019-09-14,36
1,2019-09-15,60
1,2019-09-16,46
1,2019-09-17,50
1,2019-09-18,38
1,2019-09-19,43
1,2019-09-20,51
1,2019-09-21,62
1,2019-09-22,42
1,2019-09-23,51
1,2019-09-24,64
1,2019-09-25,53
1,2019-09-26,35
1,2019-09-27,63
1,2019-09-28,42
1,2019-09-29,37
1,2019-09-30,61
1,2019-10-01,52
1,2019-10-02,54
1,2019-10-03,49
1,2019-10-04,59
1,2019-10-05,58
1,2019-10-06,42
1,2019-10-07,45
1,2019-10-08,61
1,2019-10-09,55
1,2019-10-10,58
1,2019-10-11,42
1,2019-10-12,57
1,2019-10-13,25
1,2019-10-14,59
1,2019-10-15,52
1,2019-10-16,56
1,2019-10-17,42
1,2019-10-18,65
1,2019-10-19,54
1,2019-10-20,60
1,2019-10-21,52
1,2019-10-22,34
1,2019-10-23,61
1,2019-10-24,45
1,2019-10-25,31
1,2019-10-26,41
1,2019-10-27,49
1,2019-10-28,45
1,2019-10-29,54
1,2019-10-30,50
1,2019-10-31,39
1,2019-11-01,46
1,2019-11-02,38
1,2019-11-03,48
1,2019-11-04,54
1,2019-11-05,48
1,2019-11-06,49
1,2019-11-07,33
1,2019-11-08,62
1,2019-11-09,53
1,2019-11-10,38
1,2019-11-11,59
1,2019-11-12,49
1,2019-11-13,45
1,2019-11-14,51
1,2019-11-15,65
1,2019-11-16,52
1,2019-11-17,46
1,2019-11-18,53
1,2019-11-19,40
1,2019-11-20,46
1,2019-11-21,49
1,2019-11-22,51
1,2019-11-23,39
1,2019-11-24,52
1,2019-11-25,70
1,2019-11-26,40
1,2019-11-27,63
1,2019-11-28,57
1,2019-11-29,41
1,2019-11-30,61
1,2019-12-01,39
1,2019-12-02,47
1,2019-12-03,50
1,2019-12-04,59
1,2019-12-05,43
1,2019-12-06,55
1,2019-12-07,63
1,2019-12-08,35
1,2019-12-09,47
1,2019-12-10,46
1,2019-12-11,47
1,2019-12-12,42
1,2019-12-13,60
1,2019-12-14,55
1,2019-12-15,43
1,2019-12-16,60
1,2019-12-17,57
1,2019-12-18,55
1,2019-12-19,62
1,2019-12-20,44
1,2019-12-21,57
1,2019-12-22,30
1,2019-12-23,42
1,2019-12-24,64
1,2019-12-25,51
1,2019-12-26,58
1,2019-12-27,38
1,2019-12-28,46
1,2019-12-29,55
1,2019-12-30,61
1,2019-12-31,49
1,2020-01-01,53
1,2020-01-02,37
1,2020-01-03,60
1,2020-01-04,54
1,2020-01-05,62
1,2020-01-06,58
1,2020-01-07,57
1,2020-01-08,40
1,2020-01-09,54
1,2020-01-10,31
1,2020-01-11,46
1,2020-01-12,54
1,2020-01-13,54
1,2020-01-14,34
1,2020-01-15,59
1,2020-01-16,51
1,2020-01-17,49
1,2020-01-18,75
1,2020-01-19,40
1,2020-01-20,45
1,2020-01-21,53
1,2020-01-22,42
1,2020-01-23,50
1,2020-01-24,59
1,2020-01-25,48
1,2020-01-26,20
1,2020-01-27,40
1,2020-01-28,39
1,2020-01-29,64
1,2020-01-30,57
1,2020-01-31,66
1,2020-02-01,58
1,2020-02-02,42
1,2020-02-03,41
1,2020-02-04,55
1,2020-02-05,33
1,2020-02-06,58
1,2020-02-07,50
1,2020-02-08,63
1,2020-02-09,40
1,2020-02-10,41
1,2020-02-11,49
1,2020-02-12,42
1,2020-02-13,35
1,2020-02-14,41
1,2020-02-15,45
1,2020-02-16,51
1,2020-02-17,61
1,2020-02-18,65
1,2020-02-19,52
1,2020-02-20,53
1,2020-02-21,46
1,2020-02-22,52
1,2020-02-23,50
1,2020-02-24,54
1,2020-02-25,47
1,2020-02-26,33
1,2020-02-27,46
1,2020-02-28,62
1,2020-02-29,47
1,2020-03-01,61
1,2020-03-02,45
1,2020-03-03,68
1,2020-03-04,38
1,2020-03-05,39
1,2020-03-06,39
1,2020-03-07,56
1,2020-03-08,83
1,2020-03-09,73
1,2020-03-10,34
1,2020-03-11,42
1,2020-03-12,72
1,2020-03-13,54
1,2020-03-14,50
1,2020-03-15,40
1,2020-03-16,44
1,2020-03-17,46
1,2020-03-18,60
1,2020-03-19,31
1,2020-03-20,57
1,2020-03-21,65
1,2020-03-22,52
1,2020-03-23,35
1,2020-03-24,62
1,2020-03-25,44
1,2020-03-26,36
1,2020-03-27,37
1,2020-03-28,46
1,2020-03-29,64
1,2020-03-30,54
1,2020-03-31,30
1,2020-04-01,61
1,2020-04-02,68
1,2020-04-03,84
1,2020-04-04,93
1,2020-04-05,69
1,2020-04-06,49
1,2020-04-07,52
1,2020-04-08,54
1,2020-04-09,78
1,2020-04-10,76
1,2020-04-11,76
1,2020-04-12,54
1,2020-04-13,51
1,2020-04-14,58
1,2020-04-15,82
1,2020-04-16,69
1,2020-04-17,73
1,2020-04-18,66
1,2020-04-19,49
1,2020-04-20,76
1,2020-04-21,70
1,2020-04-22,54
1,2020-04-23,36
1,2020-04-24,75
1,2020-04-25,93
1,2020-04-26,72
1,2020-04-27,43
1,2020-04-28,101
1,2020-04-29,66
1,2020-04-30,55
1,2020-05-01,57
1,2020-05-02,60
1,2020-05-03,72
1,2020-05-04,70
1,2020-05-05,39
1,2020-05-06,65
1,2020-05-07,68
1,2020-05-08,75
1,2020-05-09,64
1,2020-05-10,71
1,2020-05-11,61
1,2020-05-12,61
1,2020-05-13,61
1,2020-05-14,61
1,2020-05-15,56
1,2020-05-16,78
1,2020-05-17,60
1,2020-05-18,55
1,2020-05-19,277.1445422
1,2020-05-20,40
1,2020-05-21,66
1,2020-05-22,27
1,2020-05-23,60
1,2020-05-24,60
1,2020-05-25,61
1,2020-05-26,62
1,2020-05-27,67
1,2020-05-28,53
1,2020-05-29,59
1,2020-05-30,40
1,2020-05-31,76
1,2020-06-01,83
1,2020-06-02,74
1,2020-06-03,77
1,2020-06-04,75
1,2020-06-05,75
1,2020-06-06,60
1,2020-06-07,75
1,2020-06-08,78
1,2020-06-09,71
1,2020-06-10,64
1,2020-06-11,89
1,2020-06-12,93
1,2020-06-13,55
1,2020-06-14,77
1,2020-06-15,63
1,2020-06-16,69
1,2020-06-17,84
1,2020-06-18,65
1,2020-06-19,72
1,2020-06-20,60
1,2020-06-21,83
1,2020-06-22,73
1,2020-06-23,66
1,2020-06-24,64
1,2020-06-25,59
1,2020-06-26,55
1,2020-06-27,43
1,2020-06-28,67
1,2020-06-29,83
1,2020-06-30,85
1,2020-07-01,44
1,2020-07-02,44
1,2020-07-03,42
1,2020-07-04,40
1,2020-07-05,48
1,2020-07-06,62
1,2020-07-07,46
1,2020-07-08,60
1,2020-07-09,42
1,2020-07-10,59
1,2020-07-11,46
1,2020-07-12,35
1,2020-07-13,41
1,2020-07-14,52
1,2020-07-15,65
1,2020-07-16,41
1,2020-07-17,46
1,2020-07-18,61
1,2020-07-19,49
1,2020-07-20,51
1,2020-07-21,56
1,2020-07-22,45
1,2020-07-23,55
1,2020-07-24,25
1,2020-07-25,61
1,2020-07-26,34
1,2020-07-27,64
1,2020-07-28,36
1,2020-07-29,45
1,2020-07-30,61
1,2020-07-31,54
1,2020-08-01,47
1,2020-08-02,41
1,2020-08-03,58
1,2020-08-04,59
1,2020-08-05,39
1,2020-08-06,46
1,2020-08-07,55
1,2020-08-08,44
1,2020-08-09,43
1,2020-08-10,54
1,2020-08-11,55
1,2020-08-12,58
1,2020-08-13,40
1,2020-08-14,74
1,2020-08-15,53
1,2020-08-16,49
1,2020-08-17,52
1,2020-08-18,48
1,2020-08-19,63
1,2020-08-20,32
1,2020-08-21,44
1,2020-08-22,49
1,2020-08-23,52
1,2020-08-24,57
1,2020-08-25,45
1,2020-08-26,70
1,2020-08-27,65
1,2020-08-28,45
1,2020-08-29,48
1,2020-08-30,52
1,2020-08-31,52
1,2020-09-01,66
1,2020-09-02,38
1,2020-09-03,49
1,2020-09-04,43
1,2020-09-05,60
1,2020-09-06,37
1,2020-09-07,44
1,2020-09-08,61
1,2020-09-09,48
1,2020-09-10,52
1,2020-09-11,49
1,2020-09-12,51
1,2020-09-13,31
1,2020-09-14,51
1,2020-09-15,48
1,2020-09-16,46
1,2020-09-17,61
1,2020-09-18,44
1,2020-09-19,58
1,2020-09-20,52
1,2020-09-21,51
1,2020-09-22,63
1,2020-09-23,41
1,2020-09-24,56
1,2020-09-25,60
1,2020-09-26,42
1,2020-09-27,43
1,2020-09-28,68
1,2020-09-29,45
1,2020-09-30,40
1,2020-10-01,54
1,2020-10-02,57
1,2020-10-03,46
1,2020-10-04,55
1,2020-10-05,69
1,2020-10-06,53
1,2020-10-07,58
1,2020-10-08,39
1,2020-10-09,72
1,2020-10-10,42
1,2020-10-11,50
1,2020-10-12,48
1,2020-10-13,47
1,2020-10-14,48
1,2020-10-15,48
1,2020-10-16,47
1,2020-10-17,67
1,2020-10-18,38
1,2020-10-19,55
1,2020-10-20,45
1,2020-10-21,47
1,2020-10-22,63
1,2020-10-23,50
1,2020-10-24,46
1,2020-10-25,35
1,2020-10-26,27
1,2020-10-27,51
1,2020-10-28,40
1,2020-10-29,47
1,2020-10-30,53
1,2020-10-31,55
1,2020-11-01,47
1,2020-11-02,64
1,2020-11-03,55
1,2020-11-04,41
1,2020-11-05,64
1,2020-11-06,45
1,2020-11-07,41
1,2020-11-08,59
1,2020-11-09,86.56981067
1,2020-11-10,42
1,2020-11-11,63
1,2020-11-12,59
1,2020-11-13,54
1,2020-11-14,46
1,2020-11-15,74
1,2020-11-16,62
1,2020-11-17,61
1,2020-11-18,42
1,2020-11-19,47
1,2020-11-20,42
1,2020-11-21,44
1,2020-11-22,47
1,2020-11-23,50
1,2020-11-24,47
1,2020-11-25,51
1,2020-11-26,46
1,2020-11-27,66
1,2020-11-28,36
1,2020-11-29,30
1,2020-11-30,62
1,2020-12-01,48
1,2020-12-02,48
1,2020-12-03,50
1,2020-12-04,62
1,2020-12-05,39
1,2020-12-06,39
1,2020-12-07,51
1,2020-12-08,36
1,2020-12-09,43
1,2020-12-10,41
1,2020-12-11,69
1,2020-12-12,52
1,2020-12-13,62
1,2020-12-14,54
1,2020-12-15,42
1,2020-12-16,57
1,2020-12-17,30
1,2020-12-18,56
1,2020-12-19,33
1,2020-12-20,51
1,2020-12-21,52
1,2020-12-22,60
1,2020-12-23,34
1,2020-12-24,49
1,2020-12-25,62
1,2020-12-26,56
1,2020-12-27,37
1,2020-12-28,35
1,2020-12-29,40
1,2020-12-30,57
1,2020-12-31,37
1,2021-01-01,52
1,2021-01-02,66
1,2021-01-03,54
1,2021-01-04,37
1,2021-01-05,74
1,2021-01-06,43
1,2021-01-07,58
1,2021-01-08,47
1,2021-01-09,51
1,2021-01-10,33
1,2021-01-11,42
1,2021-01-12,54
1,2021-01-13,47
1,2021-01-14,53
1,2021-01-15,66
1,2021-01-16,34
1,2021-01-17,47
1,2021-01-18,57
1,2021-01-19,49
1,2021-01-20,42
1,2021-01-21,58
1,2021-01-22,72
1,2021-01-23,42
1,2021-01-24,52
1,2021-01-25,52
1,2021-01-26,57
1,2021-01-27,48
1,2021-01-28,39
1,2021-01-29,38
1,2021-01-30,35
1,2021-01-31,44
1,2021-02-01,39
1,2021-02-02,57
1,2021-02-03,60
1,2021-02-04,51
1,2021-02-05,49
1,2021-02-06,46
1,2021-02-07,53
1,2021-02-08,52
1,2021-02-09,45
1,2021-02-10,49
1,2021-02-11,66
1,2021-02-12,28
1,2021-02-13,59
1,2021-02-14,32
1,2021-02-15,39
1,2021-02-16,33
1,2021-02-17,40
1,2021-02-18,48
1,2021-02-19,28
1,2021-02-20,49
1,2021-02-21,36
1,2021-02-22,49
1,2021-02-23,54
1,2021-02-24,47
1,2021-02-25,50
1,2021-02-26,46
1,2021-02-27,57
1,2021-02-28,22
1,2021-03-01,50
1,2021-03-02,53
1,2021-03-03,56
1,2021-03-04,57
1,2021-03-05,26
1,2021-03-06,35
1,2021-03-07,45
1,2021-03-08,50
1,2021-03-09,56
1,2021-03-10,47
1,2021-03-11,47
1,2021-03-12,45
1,2021-03-13,51
1,2021-03-14,39
1,2021-03-15,57
1,2021-03-16,73
1,2021-03-17,47
1,2021-03-18,58
1,2021-03-19,41
1,2021-03-20,27
1,2021-03-21,33
1,2021-03-22,58
1,2021-03-23,58
1,2021-03-24,63
1,2021-03-25,24
1,2021-03-26,47
1,2021-03-27,50
1,2021-03-28,53
1,2021-03-29,41
1,2021-03-30,48
1,2021-03-31,61
1,2021-04-01,54
1,2021-04-02,65
1,2021-04-03,53
1,2021-04-04,46
1,2021-04-05,37
1,2021-04-06,56
1,2021-04-07,31
1,2021-04-08,59
1,2021-04-09,49
1,2021-04-10,58
1,2021-04-11,60
1,2021-04-12,47
1,2021-04-13,57
1,2021-04-14,60
1,2021-04-15,60
1,2021-04-16,63
1,2021-04-17,41
1,2021-04-18,60
1,2021-04-19,40
1,2021-04-20,75
1,2021-04-21,51
1,2021-04-22,43
1,2021-04-23,49
1,2021-04-24,38
1,2021-04-25,61
1,2021-04-26,42
1,2021-04-27,49
1,2021-04-28,49
1,2021-04-29,58
1,2021-04-30,56
1,2021-05-01,31
1,2021-05-02,48
1,2021-05-03,53
1,2021-05-04,48
1,2021-05-05,44
1,2021-05-06,44
1,2021-05-07,40
1,2021-05-08,46
1,2021-05-09,33
1,2021-05-10,43
1,2021-05-11,25
1,2021-05-12,47
1,2021-05-13,38
1,2021-05-14,60
1,2021-05-15,43
1,2021-05-16,63
1,2021-05-17,44
1,2021-05-18,50
1,2021-05-19,49
1,2021-05-20,61
1,2021-05-21,28
1,2021-05-22,63
1,2021-05-23,258.1061342
1,2021-05-24,57
1,2021-05-25,45
1,2021-05-26,36
1,2021-05-27,34
1,2021-05-28,50
1,2021-05-29,50
1,2021-05-30,47
1,2021-05-31,47
1,2021-06-01,51
1,2021-06-02,64
1,2021-06-03,37
1,2021-06-04,61
1,2021-06-05,46
1,2021-06-06,57
1,2021-06-07,47
1,2021-06-08,52
1,2021-06-09,56
1,2021-06-10,46
1,2021-06-11,45
1,2021-06-12,62
1,2021-06-13,37
1,2021-06-14,47
1,2021-06-15,52
1,2021-06-16,33
1,2021-06-17,59
1,2021-06-18,54
1,2021-06-19,252.284419
1,2021-06-20,47
1,2021-06-21,53
1,2021-06-22,59
1,2021-06-23,49
1,2021-06-24,49
1,2021-06-25,74
1,2021-06-26,49
1,2021-06-27,48
1,2021-06-28,41
1,2021-06-29,40
1,2021-06-30,48
1,2021-07-01,53
1,2021-07-02,57
1,2021-07-03,56
1,2021-07-04,65
1,2021-07-05,58
1,2021-07-06,68
1,2021-07-07,44
1,2021-07-08,63
1,2021-07-09,52
1,2021-07-10,54
1,2021-07-11,41
1,2021-07-12,88
1,2021-07-13,41
1,2021-07-14,61
1,2021-07-15,40
1,2021-07-16,51
1,2021-07-17,65
1,2021-07-18,46
1,2021-07-19,48
1,2021-07-20,49
1,2021-07-21,62
1,2021-07-22,47
1,2021-07-23,44
1,2021-07-24,43
1,2021-07-25,51
1,2021-07-26,47
1,2021-07-27,55
1,2021-07-28,41
1,2021-07-29,43
1,2021-07-30,47
1,2021-07-31,42
1,2021-08-01,50
1,2021-08-02,59
1,2021-08-03,54
1,2021-08-04,42
1,2021-08-05,21
1,2021-08-06,35
1,2021-08-07,46
1,2021-08-08,40
1,2021-08-09,42
1,2021-08-10,59
1,2021-08-11,54
1,2021-08-12,48
1,2021-08-13,40
1,2021-08-14,64
1,2021-08-15,57
1,2021-08-16,50
1,2021-08-17,39
1,2021-08-18,59
1,2021-08-19,36
1,2021-08-20,60
1,2021-08-21,64
1,2021-08-22,50
1,2021-08-23,76
1,2021-08-24,56
1,2021-08-25,58
1,2021-08-26,47
1,2021-08-27,50
1,2021-08-28,62
1,2021-08-29,45
1,2021-08-30,49
1,2021-08-31,46
1,2021-09-01,34
1,2021-09-02,60
1,2021-09-03,44
1,2021-09-04,60
1,2021-09-05,55
1,2021-09-06,39
1,2021-09-07,43
1,2021-09-08,42
1,2021-09-09,33
1,2021-09-10,37
1,2021-09-11,59
1,2021-09-12,49
1,2021-09-13,56
1,2021-09-14,51
1,2021-09-15,46
1,2021-09-16,43
1,2021-09-17,38
1,2021-09-18,61
1,2021-09-19,50
1,2021-09-20,62
1,2021-09-21,44
1,2021-09-22,61
1,2021-09-23,54
1,2021-09-24,59
1,2021-09-25,60
1,2021-09-26,46
1,2021-09-27,47
1,2021-09-28,62
1,2021-09-29,48
1,2021-09-30,50
1,2021-10-01,52
1,2021-10-02,55
1,2021-10-03,67
1,2021-10-04,45
1,2021-10-05,41
1,2021-10-06,45
1,2021-10-07,53
1,2021-10-08,53
1,2021-10-09,64
1,2021-10-10,41
1,2021-10-11,46
1,2021-10-12,48
1,2021-10-13,46
1,2021-10-14,49
1,2021-10-15,33
1,2021-10-16,37
1,2021-10-17,51
1,2021-10-18,51
1,2021-10-19,35
1,2021-10-20,43
1,2021-10-21,55
1,2021-10-22,69
1,2021-10-23,48
1,2021-10-24,43
1,2021-10-25,53
1,2021-10-26,40
1,2021-10-27,50
1,2021-10-28,56
1,2021-10-29,55
1,2021-10-30,58
1,2021-10-31,47
1,2021-11-01,36
1,2021-11-02,37
1,2021-11-03,52
1,2021-11-04,42
1,2021-11-05,49
1,2021-11-06,59
1,2021-11-07,52
1,2021-11-08,55
1,2021-11-09,54
1,2021-11-10,58
1,2021-11-11,47
1,2021-11-12,57
1,2021-11-13,54
1,2021-11-14,40
1,2021-11-15,45
1,2021-11-16,57
1,2021-11-17,60
1,2021-11-18,66
1,2021-11-19,32
1,2021-11-20,56
1,2021-11-21,204.1083525
1,2021-11-22,69
1,2021-11-23,43
1,2021-11-24,48
1,2021-11-25,50
1,2021-11-26,62
1,2021-11-27,35
1,2021-11-28,45
1,2021-11-29,35
1,2021-11-30,44
1,2021-12-01,42
1,2021-12-02,34
1,2021-12-03,40
1,2021-12-04,54
1,2021-12-05,50
1,2021-12-06,55
1,2021-12-07,60
1,2021-12-08,41
1,2021-12-09,36
1,2021-12-10,64
1,2021-12-11,39
1,2021-12-12,123.5001639
1,2021-12-13,46
1,2021-12-14,32
1,2021-12-15,59
1,2021-12-16,55
1,2021-12-17,47
1,2021-12-18,40
1,2021-12-19,51
1,2021-12-20,43
1,2021-12-21,49
1,2021-12-22,63
1,2021-12-23,48
1,2021-12-24,76
1,2021-12-25,34
1,2021-12-26,65
1,2021-12-27,44
1,2021-12-28,51
1,2021-12-29,50
1,2021-12-30,37
1,2021-12-31,66
1,2022-01-01,62
1,2022-01-02,37
1,2022-01-03,63
1,2022-01-04,56
1,2022-01-05,47
1,2022-01-06,40
1,2022-01-07,34
1,2022-01-08,47
1,2022-01-09,56
1,2022-01-10,34
1,2022-01-11,51
1,2022-01-12,53
1,2022-01-13,45
1,2022-01-14,62
1,2022-01-15,51
1,2022-01-16,54
1,2022-01-17,53
1,2022-01-18,55
1,2022-01-19,41
1,2022-01-20,59
1,2022-01-21,35
1,2022-01-22,53
1,2022-01-23,46
1,2022-01-24,51
1,2022-01-25,62
1,2022-01-26,54
1,2022-01-27,47
1,2022-01-28,62
1,2022-01-29,55
1,2022-01-30,55
1,2022-01-31,42
1,2022-02-01,58
1,2022-02-02,60
1,2022-02-03,54
1,2022-02-04,51
1,2022-02-05,46
1,2022-02-06,62
1,2022-02-07,60
1,2022-02-08,58
1,2022-02-09,58
1,2022-02-10,61
1,2022-02-11,51
1,2022-02-12,49
1,2022-02-13,53
1,2022-02-14,44
1,2022-02-15,60
1,2022-02-16,57
1,2022-02-17,50
1,2022-02-18,65
1,2022-02-19,43
1,2022-02-20,48
1,2022-02-21,49
1,2022-02-22,42
1,2022-02-23,59
1,2022-02-24,52
1,2022-02-25,121.1151232
1,2022-02-26,37
1,2022-02-27,48
1,2022-02-28,63
1,2022-03-01,43
1,2022-03-02,34
1,2022-03-03,46
1,2022-03-04,38
1,2022-03-05,47
1,2022-03-06,65
1,2022-03-07,41
1,2022-03-08,35
1,2022-03-09,46
1,2022-03-10,59
1,2022-03-11,57
1,2022-03-12,51
1,2022-03-13,54
1,2022-03-14,50
1,2022-03-15,61
1,2022-03-16,30
1,2022-03-17,45
1,2022-03-18,59
1,2022-03-19,37
1,2022-03-20,58
1,2022-03-21,50
1,2022-03-22,56
1,2022-03-23,52
1,2022-03-24,58
1,2022-03-25,49
1,2022-03-26,37
1,2022-03-27,65
1,2022-03-28,50
1,2022-03-29,50
1,2022-03-30,59
1,2022-03-31,55
1,2022-04-01,58
1,2022-04-02,58
1,2022-04-03,70
1,2022-04-04,90
1,2022-04-05,73
1,2022-04-06,70
1,2022-04-07,65
1,2022-04-08,54
1,2022-04-09,41
1,2022-04-10,62
1,2022-04-11,58
1,2022-04-12,79
1,2022-04-13,47
1,2022-04-14,75
1,2022-04-15,96
1,2022-04-16,61
1,2022-04-17,90
1,2022-04-18,73
1,2022-04-19,53
1,2022-04-20,88
1,2022-04-21,74
1,2022-04-22,58
1,2022-04-23,69
1,2022-04-24,52
1,2022-04-25,47
1,2022-04-26,58
1,2022-04-27,49
1,2022-04-28,59
1,2022-04-29,69
1,2022-04-30,64
1,2022-05-01,79
1,2022-05-02,53
1,2022-05-03,58
1,2022-05-04,66
1,2022-05-05,40
1,2022-05-06,45
1,2022-05-07,74
1,2022-05-08,57
1,2022-05-09,60
1,2022-05-10,70
1,2022-05-11,55
1,2022-05-12,67
1,2022-05-13,54
1,2022-05-14,66
1,2022-05-15,53
1,2022-05-16,57
1,2022-05-17,32
1,2022-05-18,58
1,2022-05-19,52
1,2022-05-20,80
1,2022-05-21,63
1,2022-05-22,69
1,2022-05-23,61
1,2022-05-24,69
1,2022-05-25,65
1,2022-05-26,60
1,2022-05-27,82
1,2022-05-28,62
1,2022-05-29,73
1,2022-05-30,74
1,2022-05-31,58
1,2022-06-01,73
1,2022-06-02,76
1,2022-06-03,58
1,2022-06-04,72
1,2022-06-05,63
1,2022-06-06,96
1,2022-06-07,83
1,2022-06-08,50
1,2022-06-09,56
1,2022-06-10,50
1,2022-06-11,57
1,2022-06-12,51
1,2022-06-13,72
1,2022-06-14,30
1,2022-06-15,77
1,2022-06-16,85
1,2022-06-17,95
1,2022-06-18,65
1,2022-06-19,53
1,2022-06-20,82
1,2022-06-21,79
1,2022-06-22,85
